Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1961","1961","kg/ha","1767.2","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1962","1962","kg/ha","1893.6","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1963","1963","kg/ha","1648.1","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1964","1964","kg/ha","1801","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1965","1965","kg/ha","1678.5","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1966","1966","kg/ha","2149.9","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1967","1967","kg/ha","2466.3","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1968","1968","kg/ha","1942.1","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1969","1969","kg/ha","1929.1","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1970","1970","kg/ha","2329.9","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1971","1971","kg/ha","2442.2","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1972","1972","kg/ha","1862","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1973","1973","kg/ha","2720.6","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1974","1974","kg/ha","2839.9","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1975","1975","kg/ha","2508.1","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1976","1976","kg/ha","2116.9","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0112","Maize (corn)","1977","1977","kg/ha","3278","A","Official figure",""
